#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Parageobacillus_thermoglucosidasius--RS_GCF_001655645.1 as POCP was;	10.868115748766503%
POCP suggests seperate genus between the input genome and Parageobacillus_thermantarcticus--RS_GCF_900111865.1 as POCP was;	10.8545684921864%
POCP suggests seperate genus between the input genome and Thermolongibacillus_altinsuensis--RS_GCF_004341205.1 as POCP was;	11.293759512937596%
POCP suggests seperate genus between the input genome and Anoxybacillus_flavithermus--RS_GCF_002742685.1 as POCP was;	11.513054419628814%
POCP suggests seperate genus between the input genome and Anoxybacillus_gonensis--RS_GCF_001187595.1 as POCP was;	11.518967900476117%
POCP suggests seperate genus between the input genome and Anoxybacillus_vitaminiphilus--RS_GCF_003259935.1 as POCP was;	10.599662162162163%
POCP suggests seperate genus between the input genome and Sporomusa_ovata--RS_GCF_000445445.1 as POCP was;	12.037460027409775%
POCP suggests seperate genus between the input genome and Sporomusa_sphaeroides--RS_GCF_001941975.1 as POCP was;	12.756901374194332%
POCP suggests seperate genus between the input genome and Sporomusa_termitida--RS_GCF_007641255.1 as POCP was;	12.507360734895773%
POCP suggests seperate genus between the input genome and Saccharococcus_thermophilus--RS_GCF_011761475.1 as POCP was;	10.705270972531551%
POCP suggests seperate genus between the input genome and Anoxybacillus_mongoliensis--RS_GCF_014201515.1 as POCP was;	11.389413988657845%
POCP suggests seperate genus between the input genome and Metabacillus_niabensis--RS_GCF_902829255.1 as POCP was;	8.834473652622735%
POCP suggests seperate genus between the input genome and Sporomusa_silvacetica--RS_GCF_002257705.1 as POCP was;	12.035837651122625%
POCP suggests seperate genus between the input genome and Sporomusa_malonica--RS_GCF_900176355.1 as POCP was;	13.193631468040271%
POCP suggests seperate genus between the input genome and Succinispira_mobilis--RS_GCF_000384135.1 as POCP was;	11.934900542495479%
POCP suggests seperate genus between the input genome and Posidoniimonas_corsicana--RS_GCF_007859765.1 as POCP was;	13.632266786840919%
POCP suggests seperate genus between the input genome and Thermoanaerobaculum_aquaticum--RS_GCF_000687145.1 as POCP was;	12.695476710946696%
POCP suggests seperate genus between the input genome and Solirubrobacter_pauli--RS_GCF_003633755.1 as POCP was;	8.024570982839313%
POCP suggests seperate genus between the input genome and Solirubrobacter_soli--RS_GCF_000423665.1 as POCP was;	7.457682557854281%
POCP suggests seperate genus between the input genome and Carboxydothermus_islandicus--RS_GCF_001950325.1 as POCP was;	14.823374050841862%
POCP suggests seperate genus between the input genome and Peribacillus_simplex--RS_GCF_002243645.1 as POCP was;	8.933909000332116%
POCP suggests seperate genus between the input genome and Carboxydothermus_hydrogenoformans--RS_GCF_000012865.1 as POCP was;	14.771048744460858%
POCP suggests seperate genus between the input genome and Carboxydothermus_pertinax--RS_GCF_001950255.1 as POCP was;	14.503321989953005%
POCP suggests seperate genus between the input genome and Thermodesulfitimonas_autotrophica--RS_GCF_003815015.1 as POCP was;	17.152215135321498%
POCP suggests seperate genus between the input genome and Geobacillus_stearothermophilus--RS_GCF_001277805.1 as POCP was;	11.648969394128668%
POCP suggests seperate genus between the input genome and Anoxybacillus_pushchinoensis--RS_GCF_900111795.1 as POCP was;	11.212886923562856%
POCP suggests seperate genus between the input genome and Metabacillus_fastidiosus--RS_GCF_001591625.1 as POCP was;	8.886960832920177%
POCP suggests seperate genus between the input genome and Peribacillus_loiseleuriae--RS_GCF_001183985.1 as POCP was;	8.472253939255538%
POCP suggests seperate genus between the input genome and Peribacillus_huizhouensis--RS_GCF_014138605.1 as POCP was;	9.03694730466384%
POCP suggests seperate genus between the input genome and Mesobacillus_zeae--RS_GCF_003570705.1 as POCP was;	9.658227848101266%
POCP suggests seperate genus between the input genome and Bacillus_methanolicus--RS_GCF_008764295.1 as POCP was;	9.71856370442257%
POCP suggests seperate genus between the input genome and Geobacillus_jurassicus--RS_GCF_001544315.1 as POCP was;	11.62528216704289%
POCP suggests seperate genus between the input genome and Geobacillus_thermodenitrificans--RS_GCF_000496575.1 as POCP was;	11.462223498994542%
POCP suggests seperate genus between the input genome and Geobacillus_subterraneus--RS_GCF_001618685.1 as POCP was;	11.253744116388532%
POCP suggests seperate genus between the input genome and Parageobacillus_toebii--RS_GCF_003688615.2 as POCP was;	11.362002013519344%
