#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Methanobacterium_veterum--RS_GCF_000745485.1 as POCP was;	10.31373047123079%
POCP suggests seperate genus between the input genome and Methanobacterium_bryantii--RS_GCF_002287175.1 as POCP was;	10.33741943637053%
POCP suggests seperate genus between the input genome and Methanothermobacter_marburgensis--RS_GCF_000145295.1 as POCP was;	10.140356410660779%
POCP suggests seperate genus between the input genome and Methanothermobacter_tenebrarum--RS_GCF_003264935.1 as POCP was;	11.060728744939272%
POCP suggests seperate genus between the input genome and Ferroglobus_placidus--RS_GCF_000025505.1 as POCP was;	11.081757508342603%
POCP suggests seperate genus between the input genome and Archaeoglobus_sulfaticallidus--RS_GCF_000385565.1 as POCP was;	10.644831115660185%
POCP suggests seperate genus between the input genome and Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1 as POCP was;	10.43228585101292%
POCP suggests seperate genus between the input genome and Desulfurococcus_amylolyticus--RS_GCF_000513855.1 as POCP was;	5.522088353413655%
POCP suggests seperate genus between the input genome and Thermosphaera_aggregans--GB_GCA_011053855.1 as POCP was;	5.244122965641953%
POCP suggests seperate genus between the input genome and Thermogladius_calderae--RS_GCF_000264495.1 as POCP was;	5.5703358829398075%
POCP suggests seperate genus between the input genome and Hyperthermus_butylicus--RS_GCF_000015145.1 as POCP was;	6.136115869802212%
POCP suggests seperate genus between the input genome and Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1 as POCP was;	10.418921007883753%
POCP suggests seperate genus between the input genome and Methanothermus_fervidus--RS_GCF_000166095.1 as POCP was;	10.996447301641009%
POCP suggests seperate genus between the input genome and Geoglobus_ahangari--RS_GCF_001006045.1 as POCP was;	10.488982795049804%
POCP suggests seperate genus between the input genome and Methanotorris_formicicus--RS_GCF_000243455.1 as POCP was;	10.987334045475356%
POCP suggests seperate genus between the input genome and Desulfurococcus_mucosus--RS_GCF_000186365.1 as POCP was;	5.198725473754822%
POCP suggests seperate genus between the input genome and Staphylothermus_hellenicus--RS_GCF_000092465.1 as POCP was;	6.363199230645937%
POCP suggests seperate genus between the input genome and Pyrodictium_delaneyi--RS_GCF_001412615.1 as POCP was;	6.478578892371996%
POCP suggests seperate genus between the input genome and Ignisphaera_aggregans--GB_GCA_011375585.1 as POCP was;	6.355109961190168%
POCP suggests seperate genus between the input genome and Thermofilum_adornatum--RS_GCF_000813245.1 as POCP was;	6.094182825484765%
POCP suggests seperate genus between the input genome and Thermofilum_uzonense--RS_GCF_000993805.1 as POCP was;	5.788804071246819%
POCP suggests seperate genus between the input genome and Methanotorris_igneus--RS_GCF_000214415.1 as POCP was;	11.192517537022603%
POCP suggests seperate genus between the input genome and Pyrodictium_occultum--RS_GCF_001462395.1 as POCP was;	6.646477526299012%
POCP suggests seperate genus between the input genome and Methanobrevibacter_arboriphilus--RS_GCF_000513315.1 as POCP was;	9.716537820221314%
POCP suggests seperate genus between the input genome and Methanobrevibacter_filiformis--RS_GCF_001639265.1 as POCP was;	8.727606798346347%
POCP suggests seperate genus between the input genome and Methanobrevibacter_cuticularis--RS_GCF_001639285.1 as POCP was;	8.756383298287775%
POCP suggests seperate genus between the input genome and Methanosphaera_stadtmanae--RS_GCF_000012545.1 as POCP was;	8.820179007323027%
POCP suggests seperate genus between the input genome and Methanobacterium_subterraneum--RS_GCF_002813695.1 as POCP was;	10.268809557673162%
POCP suggests seperate genus between the input genome and Methanobacterium_formicicum--GB_GCA_001316325.1 as POCP was;	10.884597043395326%
POCP suggests seperate genus between the input genome and Methanobacterium_congolense--RS_GCF_900095295.1 as POCP was;	10.420870567886999%
POCP suggests seperate genus between the input genome and Methanobacterium_lacus--RS_GCF_000191585.1 as POCP was;	9.908643710470837%
POCP suggests seperate genus between the input genome and Methanobacterium_paludis--RS_GCF_000214725.1 as POCP was;	10.533787620670074%
