#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Sulfurimonas_gotlandica--RS_GCF_000242915.1 as POCP was;	5.271084337349398%
POCP suggests seperate genus between the input genome and Helicobacter_cetorum--RS_GCF_000259275.1 as POCP was;	6.52787579393084%
POCP suggests seperate genus between the input genome and Helicobacter_aurati--RS_GCF_003364265.1 as POCP was;	6.051066806575726%
POCP suggests seperate genus between the input genome and Helicobacter_canadensis--RS_GCF_000162575.1 as POCP was;	7.90454884414616%
POCP suggests seperate genus between the input genome and Helicobacter_japonicus--RS_GCF_000762845.2 as POCP was;	6.880582203109493%
POCP suggests seperate genus between the input genome and Helicobacter_hepaticus--RS_GCF_000007905.1 as POCP was;	6.843191196698763%
POCP suggests seperate genus between the input genome and Helicobacter_canis--RS_GCF_900451095.1 as POCP was;	6.0644346178142765%
POCP suggests seperate genus between the input genome and Helicobacter_mustelae--RS_GCF_900476215.1 as POCP was;	7.354685646500593%
POCP suggests seperate genus between the input genome and Helicobacter_pametensis--RS_GCF_000518225.1 as POCP was;	8.477997577714978%
POCP suggests seperate genus between the input genome and Helicobacter_muridarum--RS_GCF_000765805.2 as POCP was;	6.088682991396426%
POCP suggests seperate genus between the input genome and Helicobacter_bilis--RS_GCF_000686565.1 as POCP was;	5.955188679245283%
POCP suggests seperate genus between the input genome and Helicobacter_anseris--RS_GCF_003364335.1 as POCP was;	7.452725250278086%
POCP suggests seperate genus between the input genome and Helicobacter_brantae--RS_GCF_003364205.1 as POCP was;	7.80791788856305%
POCP suggests seperate genus between the input genome and Helicobacter_cholecystus--RS_GCF_003364215.1 as POCP was;	7.933884297520661%
POCP suggests seperate genus between the input genome and Helicobacter_valdiviensis--RS_GCF_003245365.1 as POCP was;	6.413077648538196%
POCP suggests seperate genus between the input genome and Geobacter_daltonii--RS_GCF_000022265.1 as POCP was;	7.874493927125506%
POCP suggests seperate genus between the input genome and Geobacter_toluenoxydans--GB_GCA_001311985.1 as POCP was;	7.113227838377631%
POCP suggests seperate genus between the input genome and Geobacter_uraniireducens--RS_GCF_000016745.1 as POCP was;	7.1782178217821775%
POCP suggests seperate genus between the input genome and Pelobacter_propionicus--RS_GCF_000015045.1 as POCP was;	7.2590483936559576%
POCP suggests seperate genus between the input genome and Geobacter_pickeringii--RS_GCF_000817955.1 as POCP was;	8.114233907524932%
POCP suggests seperate genus between the input genome and Geobacter_argillaceus--RS_GCF_007830735.1 as POCP was;	7.458563535911603%
POCP suggests seperate genus between the input genome and Desulfuromonas_acetexigens--RS_GCF_900111775.1 as POCP was;	8.457600712219007%
POCP suggests seperate genus between the input genome and Desulfuromonas_acetoxidans--RS_GCF_000167355.1 as POCP was;	7.329026509244821%
POCP suggests seperate genus between the input genome and Desulfuromonas_thiophila--RS_GCF_900101955.1 as POCP was;	9.078173157747269%
POCP suggests seperate genus between the input genome and Desulfuromusa_kysingii--RS_GCF_900107645.1 as POCP was;	7.899461400359066%
POCP suggests seperate genus between the input genome and Pelobacter_seleniigenes--RS_GCF_000711225.1 as POCP was;	6.446991404011461%
POCP suggests seperate genus between the input genome and Salinicoccus_roseus--RS_GCF_003814515.1 as POCP was;	8.433398492041329%
POCP suggests seperate genus between the input genome and Desulfosporosinus_fructosivorans--RS_GCF_004766045.1 as POCP was;	5.611510791366906%
POCP suggests seperate genus between the input genome and Euzebya_tangerina--RS_GCF_003074135.1 as POCP was;	4.532056005895358%
POCP suggests seperate genus between the input genome and Egibacter_rhizosphaerae--RS_GCF_004322855.1 as POCP was;	5.086013462976814%
POCP suggests seperate genus between the input genome and Desulfosporosinus_orientis--RS_GCF_000235605.1 as POCP was;	6.259565350474442%
POCP suggests seperate genus between the input genome and Saccharophagus_degradans--RS_GCF_000013665.1 as POCP was;	5.124785673461612%
POCP suggests seperate genus between the input genome and Pseudoteredinibacter_isoporae--RS_GCF_011602085.1 as POCP was;	5.0359712230215825%
POCP suggests seperate genus between the input genome and Litorivivens_lipolytica--RS_GCF_014191715.1 as POCP was;	6.355442569909868%
POCP suggests seperate genus between the input genome and Mariprofundus_ferrooxydans--RS_GCF_000153765.1 as POCP was;	6.59368635437882%
POCP suggests seperate genus between the input genome and Magnetococcus_marinus--RS_GCF_000014865.1 as POCP was;	5.487077534791252%
POCP suggests seperate genus between the input genome and Sulfurimonas_crateris--RS_GCF_005217605.1 as POCP was;	6.668633815284744%
POCP suggests seperate genus between the input genome and Sulfurimonas_autotrophica--RS_GCF_000147355.1 as POCP was;	7.496940024479805%
