#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Listeria_valentina--RS_GCF_011800755.1 as POCP was;	9.219208211143695%
POCP suggests seperate genus between the input genome and Alicyclobacillus_contaminans--RS_GCF_000429525.1 as POCP was;	10.298729163228256%
POCP suggests seperate genus between the input genome and Desulfosporosinus_hippei--RS_GCF_900100785.1 as POCP was;	11.07759802577461%
POCP suggests seperate genus between the input genome and Desulfitobacterium_chlororespirans--RS_GCF_900143285.1 as POCP was;	9.738154613466333%
POCP suggests seperate genus between the input genome and Desulfitobacterium_dehalogenans--RS_GCF_000243155.2 as POCP was;	10.721048798252003%
POCP suggests seperate genus between the input genome and Desulfallas_arcticus--RS_GCF_900113335.1 as POCP was;	12.40828935512936%
POCP suggests seperate genus between the input genome and Desulfotomaculum_putei--RS_GCF_900129195.1 as POCP was;	13.88121546961326%
POCP suggests seperate genus between the input genome and Desulfofarcimen_acetoxidans--RS_GCF_000024205.1 as POCP was;	11.345195729537366%
POCP suggests seperate genus between the input genome and Desulfofundulus_australicus--RS_GCF_900129285.1 as POCP was;	15.547640249332146%
POCP suggests seperate genus between the input genome and Desulfofundulus_thermosubterraneus--RS_GCF_900142025.1 as POCP was;	15.350734094616639%
POCP suggests seperate genus between the input genome and Desulfosporosinus_lacus--RS_GCF_900129935.1 as POCP was;	10.856711536042269%
POCP suggests seperate genus between the input genome and Desulfitobacterium_hafniense--RS_GCF_000021925.1 as POCP was;	9.857497712119232%
POCP suggests seperate genus between the input genome and Desulfitobacterium_metallireducens--RS_GCF_000231405.2 as POCP was;	11.992363762582436%
POCP suggests seperate genus between the input genome and Desulfotomaculum_ferrireducens--RS_GCF_002005145.1 as POCP was;	13.420061622731941%
POCP suggests seperate genus between the input genome and Dendrosporobacter_quercicolus--RS_GCF_900104455.1 as POCP was;	11.806411837237977%
POCP suggests seperate genus between the input genome and Desulfofundulus_kuznetsovii--GB_GCA_000214705.1 as POCP was;	14.315286624203821%
POCP suggests seperate genus between the input genome and Desulfofundulus_thermobenzoicus--RS_GCF_009428905.1 as POCP was;	14.566677326511032%
POCP suggests seperate genus between the input genome and Mycobacterium_leprae--RS_GCF_000195855.1 as POCP was;	5.920856887831002%
POCP suggests seperate genus between the input genome and Syntrophomonas_wolfei--RS_GCF_000014725.1 as POCP was;	12.207357859531772%
POCP suggests seperate genus between the input genome and Calderihabitans_maritimus--RS_GCF_002207765.1 as POCP was;	14.77832512315271%
POCP suggests seperate genus between the input genome and Thermacetogenium_phaeum--RS_GCF_000305935.1 as POCP was;	13.637176050044683%
POCP suggests seperate genus between the input genome and Alicyclobacillus_acidocaldarius--RS_GCF_000024285.1 as POCP was;	10.447507231580738%
POCP suggests seperate genus between the input genome and Desulfosporosinus_orientis--RS_GCF_000235605.1 as POCP was;	11.529498344167791%
POCP suggests seperate genus between the input genome and Desulfotomaculum_nigrificans--RS_GCF_000189755.2 as POCP was;	13.73233292619089%
POCP suggests seperate genus between the input genome and Symbiobacterium_thermophilum--RS_GCF_000009905.1 as POCP was;	12.138824310860178%
POCP suggests seperate genus between the input genome and Mucispirillum_schaedleri--RS_GCF_000487995.1 as POCP was;	10.16914191419142%
POCP suggests seperate genus between the input genome and Desulfovibrio_piger--RS_GCF_000156375.1 as POCP was;	11.051419800460476%
POCP suggests seperate genus between the input genome and Desulfovibrio_vulgaris--RS_GCF_000195755.1 as POCP was;	12.180974477958237%
POCP suggests seperate genus between the input genome and Desulfonatronum_thiosulfatophilum--RS_GCF_900104215.1 as POCP was;	13.200203080047384%
POCP suggests seperate genus between the input genome and Desulfonatronum_thioautotrophicum--RS_GCF_000934745.1 as POCP was;	11.852172657716183%
POCP suggests seperate genus between the input genome and Desulfonatronum_thiodismutans--RS_GCF_000717475.1 as POCP was;	12.724935732647817%
POCP suggests seperate genus between the input genome and Desulfonatronum_lacustre--RS_GCF_000519265.1 as POCP was;	13.173553719008266%
POCP suggests seperate genus between the input genome and Listeria_goaensis--RS_GCF_900186125.1 as POCP was;	8.421052631578947%
