#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Methanocaldococcus_fervens--RS_GCF_000023985.1 as POCP was;	8.051341890315053%
POCP suggests seperate genus between the input genome and Methanocaldococcus_bathoardescens--RS_GCF_000739065.1 as POCP was;	7.671653241273495%
POCP suggests seperate genus between the input genome and Methanocaldococcus_vulcanius--RS_GCF_000024625.1 as POCP was;	7.392273402674592%
POCP suggests seperate genus between the input genome and Methanocaldococcus_infernus--RS_GCF_000092305.1 as POCP was;	8.108108108108109%
POCP suggests seperate genus between the input genome and Pyrodictium_occultum--RS_GCF_001462395.1 as POCP was;	6.584992343032159%
POCP suggests seperate genus between the input genome and Nitrosopumilus_piranensis--RS_GCF_000875775.1 as POCP was;	4.32520325203252%
POCP suggests seperate genus between the input genome and Nitrosopumilus_adriaticus--RS_GCF_000956175.1 as POCP was;	4.106972301814708%
POCP suggests seperate genus between the input genome and Nitrososphaera_viennensis--RS_GCF_000698785.1 as POCP was;	3.852002027369488%
POCP suggests seperate genus between the input genome and Halomicrobium_mukohataei--RS_GCF_000023965.1 as POCP was;	3.4738304770727186%
POCP suggests seperate genus between the input genome and Methanolobus_tindarius--RS_GCF_000504205.1 as POCP was;	6.023166023166024%
POCP suggests seperate genus between the input genome and Halomicrobium_katesii--RS_GCF_000379085.1 as POCP was;	3.26726203441516%
POCP suggests seperate genus between the input genome and Methanococcus_vannielii--RS_GCF_000017165.1 as POCP was;	7.060141949943967%
POCP suggests seperate genus between the input genome and Methanococcus_maripaludis--RS_GCF_000017225.1 as POCP was;	6.54848046309696%
POCP suggests seperate genus between the input genome and Methanocaldococcus_jannaschii--RS_GCF_000091665.1 as POCP was;	7.6923076923076925%
POCP suggests seperate genus between the input genome and Methanocaldococcus_villosus--RS_GCF_000371805.1 as POCP was;	8.315288003464703%
POCP suggests seperate genus between the input genome and Ignisphaera_aggregans--GB_GCA_011375585.1 as POCP was;	5.035685963521015%
POCP suggests seperate genus between the input genome and Nitrosopumilus_maritimus--RS_GCF_000018465.1 as POCP was;	4.48227936066713%
POCP suggests seperate genus between the input genome and Nitrosarchaeum_koreense--RS_GCF_000220175.1 as POCP was;	4.376750700280112%
POCP suggests seperate genus between the input genome and Methanopyrus_kandleri--RS_GCF_000007185.1 as POCP was;	6.601021152443471%
POCP suggests seperate genus between the input genome and Halegenticoccus_soli--RS_GCF_002844195.1 as POCP was;	3.555798687089715%
POCP suggests seperate genus between the input genome and Methanolobus_vulcani--RS_GCF_006546655.1 as POCP was;	6.38182801514332%
POCP suggests seperate genus between the input genome and Methanococcus_voltae--RS_GCF_000006175.1 as POCP was;	5.981941309255079%
POCP suggests seperate genus between the input genome and Methanococcus_aeolicus--RS_GCF_000017185.1 as POCP was;	7.043973941368079%
POCP suggests seperate genus between the input genome and Methanothermococcus_okinawensis--RS_GCF_000179575.2 as POCP was;	7.434514637904469%
POCP suggests seperate genus between the input genome and Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1 as POCP was;	7.44150364403529%
POCP suggests seperate genus between the input genome and Methanofervidicoccus_abyssi--RS_GCF_004310395.1 as POCP was;	8.226691042047532%
POCP suggests seperate genus between the input genome and Methanotorris_formicicus--RS_GCF_000243455.1 as POCP was;	7.575233483223798%
POCP suggests seperate genus between the input genome and Methanotorris_igneus--RS_GCF_000214415.1 as POCP was;	7.845986196876136%
