#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Halorubrum_kocurii--RS_GCF_000337355.1 as POCP was;	5.340859748154581%
POCP suggests seperate genus between the input genome and Halorubrum_aethiopicum--RS_GCF_001542905.1 as POCP was;	5.955678670360111%
POCP suggests seperate genus between the input genome and Halorubrum_aquaticum--RS_GCF_900113615.1 as POCP was;	5.903356343727683%
POCP suggests seperate genus between the input genome and Methanofollis_ethanolicus--RS_GCF_001571385.1 as POCP was;	5.568942436412316%
POCP suggests seperate genus between the input genome and Methanospirillum_hungatei--RS_GCF_000013445.1 as POCP was;	4.898686261411712%
POCP suggests seperate genus between the input genome and Methanoregula_formicica--RS_GCF_000327485.1 as POCP was;	5.079605761940864%
POCP suggests seperate genus between the input genome and Methanosphaerula_palustris--RS_GCF_000021965.1 as POCP was;	4.590248962655602%
POCP suggests seperate genus between the input genome and Halobacterium_jilantaiense--RS_GCF_900110535.1 as POCP was;	6.240998559769563%
POCP suggests seperate genus between the input genome and Methanofollis_liminatans--RS_GCF_000275865.1 as POCP was;	5.604551920341394%
POCP suggests seperate genus between the input genome and Methanoregula_boonei--RS_GCF_000017625.1 as POCP was;	6.213592233009709%
POCP suggests seperate genus between the input genome and Methanolinea_tarda--GB_GCA_000235685.2 as POCP was;	6.460852959898154%
POCP suggests seperate genus between the input genome and Methanoculleus_thermophilus--RS_GCF_001571405.1 as POCP was;	6.9648754127889525%
POCP suggests seperate genus between the input genome and Methanoculleus_taiwanensis--RS_GCF_004102725.1 as POCP was;	6.134969325153374%
POCP suggests seperate genus between the input genome and Methanolacinia_paynteri--RS_GCF_000784355.1 as POCP was;	5.041797283176593%
POCP suggests seperate genus between the input genome and Methanolacinia_petrolearia--RS_GCF_000147875.1 as POCP was;	5.053873781426373%
POCP suggests seperate genus between the input genome and Methanoplanus_limicola--RS_GCF_000243255.1 as POCP was;	5.01574993942331%
POCP suggests seperate genus between the input genome and Methanogenium_cariaci--RS_GCF_001315945.1 as POCP was;	4.4101017715793445%
POCP suggests seperate genus between the input genome and Methanothermus_fervidus--RS_GCF_000166095.1 as POCP was;	10.68893528183716%
POCP suggests seperate genus between the input genome and Methanothermobacter_tenebrarum--RS_GCF_003264935.1 as POCP was;	9.514855208725084%
POCP suggests seperate genus between the input genome and Methanococcus_aeolicus--RS_GCF_000017185.1 as POCP was;	7.686395080707148%
POCP suggests seperate genus between the input genome and Methanothermococcus_okinawensis--RS_GCF_000179575.2 as POCP was;	8.49744711889132%
POCP suggests seperate genus between the input genome and Methanofervidicoccus_abyssi--RS_GCF_004310395.1 as POCP was;	10.282776349614396%
POCP suggests seperate genus between the input genome and Thermogymnomonas_acidicola--RS_GCF_001316105.1 as POCP was;	5.337665351589696%
POCP suggests seperate genus between the input genome and Thermofilum_adornatum--RS_GCF_000813245.1 as POCP was;	5.667337357478202%
POCP suggests seperate genus between the input genome and Thermofilum_pendens--GB_GCA_011363115.1 as POCP was;	5.7225642883013395%
POCP suggests seperate genus between the input genome and Halorubrum_saccharovorum--RS_GCF_000337915.1 as POCP was;	5.470708912696604%
POCP suggests seperate genus between the input genome and Halobacterium_salinarum--RS_GCF_008124605.1 as POCP was;	6.88673875924872%
POCP suggests seperate genus between the input genome and Methanofollis_tationis--RS_GCF_013377755.1 as POCP was;	6.047197640117994%
POCP suggests seperate genus between the input genome and Methanoculleus_bourgensis--RS_GCF_000304355.2 as POCP was;	6.051719541455612%
POCP suggests seperate genus between the input genome and Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1 as POCP was;	8.635286149678294%
POCP suggests seperate genus between the input genome and Methanococcus_vannielii--RS_GCF_000017165.1 as POCP was;	7.438894792773645%
POCP suggests seperate genus between the input genome and Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1 as POCP was;	8.645114420632037%
POCP suggests seperate genus between the input genome and Halorubrum_trapanicum--RS_GCF_002355655.1 as POCP was;	6.215948489351164%
POCP suggests seperate genus between the input genome and Halorubrum_xinjiangense--RS_GCF_900102375.1 as POCP was;	5.966246731637746%
POCP suggests seperate genus between the input genome and Halorubrum_lipolyticum--RS_GCF_000337375.1 as POCP was;	5.856783344772364%
POCP suggests seperate genus between the input genome and Halorubrum_halophilum--RS_GCF_000739595.1 as POCP was;	5.530738140821102%
POCP suggests seperate genus between the input genome and Halorubrum_depositum--RS_GCF_007671725.1 as POCP was;	5.892135899263483%
POCP suggests seperate genus between the input genome and Halorubrum_aidingense--RS_GCF_000336995.1 as POCP was;	5.64711585070286%
