#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Lamprocystis_purpurea--RS_GCF_000379525.1 as POCP was;	10.3755711579182%
POCP suggests seperate genus between the input genome and Thiohalocapsa_marina--RS_GCF_008632335.1 as POCP was;	13.645802432512607%
POCP suggests seperate genus between the input genome and Thermochromatium_tepidum--RS_GCF_009664085.1 as POCP was;	14.247646118315865%
POCP suggests seperate genus between the input genome and Macromonas_bipunctata--RS_GCF_002837135.1 as POCP was;	11.62490788504053%
POCP suggests seperate genus between the input genome and Noviherbaspirillum_massiliense--RS_GCF_000312045.1 as POCP was;	11.220155265856159%
POCP suggests seperate genus between the input genome and Lautropia_mirabilis--RS_GCF_900637555.1 as POCP was;	11.80315961503541%
POCP suggests seperate genus between the input genome and Cupriavidus_taiwanensis--RS_GCF_000069785.1 as POCP was;	10.331807780320366%
POCP suggests seperate genus between the input genome and Lampropedia_hyalina--RS_GCF_900129055.1 as POCP was;	11.29287598944591%
POCP suggests seperate genus between the input genome and Trinickia_fusca--RS_GCF_003628145.1 as POCP was;	9.923389992817812%
POCP suggests seperate genus between the input genome and Cupriavidus_necator--RS_GCF_000744095.1 as POCP was;	8.315316813570597%
POCP suggests seperate genus between the input genome and Cupriavidus_metallidurans--RS_GCF_000196015.1 as POCP was;	9.146406768769411%
POCP suggests seperate genus between the input genome and Polynucleobacter_sphagniphilus--RS_GCF_001953355.1 as POCP was;	10.688227174127391%
POCP suggests seperate genus between the input genome and Polynucleobacter_paneuropaeus--RS_GCF_003261235.1 as POCP was;	11.46968139773895%
POCP suggests seperate genus between the input genome and Chromobacterium_sphagni--RS_GCF_001855555.1 as POCP was;	10.425073984396018%
POCP suggests seperate genus between the input genome and Chitiniphilus_eburneus--RS_GCF_005048205.1 as POCP was;	11.365625911876277%
POCP suggests seperate genus between the input genome and Chitiniphilus_shinanonensis--RS_GCF_000374805.1 as POCP was;	12.378934624697337%
POCP suggests seperate genus between the input genome and Thauera_linaloolentis--RS_GCF_000310205.1 as POCP was;	12.275493543120083%
POCP suggests seperate genus between the input genome and Thauera_humireducens--RS_GCF_001051995.2 as POCP was;	12.751283932501833%
POCP suggests seperate genus between the input genome and Thauera_terpenica--RS_GCF_000443165.1 as POCP was;	12.158145065398335%
POCP suggests seperate genus between the input genome and Thauera_hydrothermalis--RS_GCF_003345255.1 as POCP was;	14.212240699468543%
POCP suggests seperate genus between the input genome and Thiorhodospira_sibirica--RS_GCF_000227725.1 as POCP was;	12.870100975526272%
POCP suggests seperate genus between the input genome and Desulfovibrio_desulfuricans--RS_GCF_000022125.1 as POCP was;	11.169024571854058%
POCP suggests seperate genus between the input genome and Desulfovibrio_legallii--RS_GCF_004309735.1 as POCP was;	12.45688003066309%
POCP suggests seperate genus between the input genome and Desulfovibrio_piger--RS_GCF_000156375.1 as POCP was;	9.961545504486358%
POCP suggests seperate genus between the input genome and Halodesulfovibrio_aestuarii--RS_GCF_000384815.1 as POCP was;	10.586692887577843%
POCP suggests seperate genus between the input genome and Halodesulfovibrio_marinisediminis--RS_GCF_900129975.1 as POCP was;	10.592051905920519%
POCP suggests seperate genus between the input genome and Desulfovibrio_mexicanus--RS_GCF_900188225.1 as POCP was;	11.818768139309901%
POCP suggests seperate genus between the input genome and Desulfovibrio_fructosivorans--RS_GCF_000179555.1 as POCP was;	11.510892480674631%
POCP suggests seperate genus between the input genome and Desulfovibrio_magneticus--RS_GCF_000526455.1 as POCP was;	11.143451143451145%
POCP suggests seperate genus between the input genome and Desulfurivibrio_alkaliphilus--RS_GCF_000092205.1 as POCP was;	14.036325163110563%
POCP suggests seperate genus between the input genome and Lentisphaera_araneosa--RS_GCF_000170755.1 as POCP was;	8.783955318608784%
POCP suggests seperate genus between the input genome and Algisphaera_agarilytica--RS_GCF_014207595.1 as POCP was;	44.002466851680545%
POCP suggests seperate genus between the input genome and Phycisphaera_mikurensis--RS_GCF_000284115.1 as POCP was;	41.557377049180324%
POCP suggests seperate genus between the input genome and Thiocapsa_roseopersicina--RS_GCF_900106925.1 as POCP was;	12.151801686685408%
POCP suggests seperate genus between the input genome and Trinickia_symbiotica--RS_GCF_002934455.1 as POCP was;	9.913697720734675%
POCP suggests seperate genus between the input genome and Chromobacterium_violaceum--RS_GCF_000007705.1 as POCP was;	11.138613861386139%
POCP suggests seperate genus between the input genome and Spongiibacter_marinus--RS_GCF_000422345.1 as POCP was;	11.793293374372265%
POCP suggests seperate genus between the input genome and Microbulbifer_yueqingensis--RS_GCF_900100355.1 as POCP was;	12.68474906610362%
POCP suggests seperate genus between the input genome and Thiocystis_violascens--RS_GCF_000227745.2 as POCP was;	12.266772528781262%
POCP suggests seperate genus between the input genome and Allochromatium_vinosum--RS_GCF_000025485.1 as POCP was;	13.376102646351242%
POCP suggests seperate genus between the input genome and Thiocapsa_marina--RS_GCF_000223985.1 as POCP was;	11.845275840202916%
