#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Methanobrevibacter_millerae--RS_GCF_900103415.1 as POCP was;	6.3922669161209855%
POCP suggests seperate genus between the input genome and Methanobrevibacter_curvatus--RS_GCF_001639295.1 as POCP was;	7.153024911032029%
POCP suggests seperate genus between the input genome and Methanosphaera_cuniculi--RS_GCF_003149675.1 as POCP was;	7.676434172513414%
POCP suggests seperate genus between the input genome and Methanobacterium_subterraneum--RS_GCF_002813695.1 as POCP was;	6.349206349206349%
POCP suggests seperate genus between the input genome and Methanobacterium_congolense--RS_GCF_900095295.1 as POCP was;	7.0688030160226205%
POCP suggests seperate genus between the input genome and Thermococcus_zilligii--RS_GCF_000258515.1 as POCP was;	8.472068072512023%
POCP suggests seperate genus between the input genome and Thermococcus_gorgonarius--RS_GCF_002214385.1 as POCP was;	8.43819393042191%
POCP suggests seperate genus between the input genome and Thermococcus_litoralis--RS_GCF_000246985.2 as POCP was;	7.286356821589206%
POCP suggests seperate genus between the input genome and Palaeococcus_ferrophilus--RS_GCF_000966265.1 as POCP was;	7.685039370078741%
POCP suggests seperate genus between the input genome and Methanocaldococcus_jannaschii--RS_GCF_000091665.1 as POCP was;	7.808471454880294%
POCP suggests seperate genus between the input genome and Methanofollis_tationis--RS_GCF_013377755.1 as POCP was;	6.3789273246588385%
POCP suggests seperate genus between the input genome and Methanolacinia_paynteri--RS_GCF_000784355.1 as POCP was;	5.600445806631374%
POCP suggests seperate genus between the input genome and Methanobrevibacter_smithii--RS_GCF_002252585.1 as POCP was;	7.837940174176448%
POCP suggests seperate genus between the input genome and Methanosphaera_stadtmanae--RS_GCF_000012545.1 as POCP was;	7.698744769874477%
POCP suggests seperate genus between the input genome and Methanobacterium_formicicum--GB_GCA_001316325.1 as POCP was;	6.065184545650766%
POCP suggests seperate genus between the input genome and Methanobacterium_lacus--RS_GCF_000191585.1 as POCP was;	6.636904761904762%
POCP suggests seperate genus between the input genome and Thermococcus_pacificus--RS_GCF_002214485.1 as POCP was;	8.001435235019734%
POCP suggests seperate genus between the input genome and Thermococcus_sibiricus--RS_GCF_000022545.1 as POCP was;	8.044770898915706%
POCP suggests seperate genus between the input genome and Palaeococcus_pacificus--RS_GCF_000725425.1 as POCP was;	8.592644978783593%
POCP suggests seperate genus between the input genome and Methanocaldococcus_vulcanius--RS_GCF_000024625.1 as POCP was;	7.810696421700654%
POCP suggests seperate genus between the input genome and Methanofollis_liminatans--RS_GCF_000275865.1 as POCP was;	6.074481074481074%
POCP suggests seperate genus between the input genome and Methanoregula_boonei--RS_GCF_000017625.1 as POCP was;	5.733808674985146%
POCP suggests seperate genus between the input genome and Methanoregula_formicica--RS_GCF_000327485.1 as POCP was;	5.002689618074233%
POCP suggests seperate genus between the input genome and Methanolinea_tarda--GB_GCA_000235685.2 as POCP was;	6.372717878057182%
POCP suggests seperate genus between the input genome and Methanosphaerula_palustris--RS_GCF_000021965.1 as POCP was;	5.087088747580868%
POCP suggests seperate genus between the input genome and Methanolacinia_petrolearia--RS_GCF_000147875.1 as POCP was;	5.8485925116151956%
POCP suggests seperate genus between the input genome and Methanoplanus_limicola--RS_GCF_000243255.1 as POCP was;	4.732510288065844%
POCP suggests seperate genus between the input genome and Methanogenium_cariaci--RS_GCF_001315945.1 as POCP was;	4.381290704558911%
POCP suggests seperate genus between the input genome and Methanonatronarchaeum_thermophilum--RS_GCF_002153915.1 as POCP was;	8.623619371282922%
POCP suggests seperate genus between the input genome and Methanobrevibacter_gottschalkii--RS_GCF_003814835.1 as POCP was;	7.419835943325877%
