#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Methanobacterium_subterraneum--RS_GCF_002813695.1 as POCP was;	7.522290593997237%
POCP suggests seperate genus between the input genome and Methanobacterium_congolense--RS_GCF_900095295.1 as POCP was;	7.4587039390088945%
POCP suggests seperate genus between the input genome and Methanobacterium_paludis--RS_GCF_000214725.1 as POCP was;	7.597793380140422%
POCP suggests seperate genus between the input genome and Methanobacterium_bryantii--RS_GCF_002287175.1 as POCP was;	7.868852459016394%
POCP suggests seperate genus between the input genome and Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1 as POCP was;	7.715173625185785%
POCP suggests seperate genus between the input genome and Thermococcus_zilligii--RS_GCF_000258515.1 as POCP was;	6.684709066305819%
POCP suggests seperate genus between the input genome and Methanobacterium_lacus--RS_GCF_000191585.1 as POCP was;	7.630172735180812%
POCP suggests seperate genus between the input genome and Methanobacterium_veterum--RS_GCF_000745485.1 as POCP was;	8.188529244747302%
POCP suggests seperate genus between the input genome and Methanothermobacter_marburgensis--RS_GCF_000145295.1 as POCP was;	7.727210229616389%
POCP suggests seperate genus between the input genome and Methanothermobacter_tenebrarum--RS_GCF_003264935.1 as POCP was;	7.992120444632053%
POCP suggests seperate genus between the input genome and Archaeoglobus_profundus--RS_GCF_000025285.1 as POCP was;	6.934306569343065%
POCP suggests seperate genus between the input genome and Ferroglobus_placidus--RS_GCF_000025505.1 as POCP was;	7.644017725258494%
POCP suggests seperate genus between the input genome and Archaeoglobus_veneficus--RS_GCF_000194625.1 as POCP was;	7.970825735868716%
POCP suggests seperate genus between the input genome and Geoglobus_acetivorans--RS_GCF_000789255.1 as POCP was;	7.799406987237334%
POCP suggests seperate genus between the input genome and Geoglobus_ahangari--RS_GCF_001006045.1 as POCP was;	7.8592220164064575%
POCP suggests seperate genus between the input genome and Archaeoglobus_sulfaticallidus--RS_GCF_000385565.1 as POCP was;	7.914039377171535%
POCP suggests seperate genus between the input genome and Methanococcus_voltae--RS_GCF_000006175.1 as POCP was;	6.301709873138445%
POCP suggests seperate genus between the input genome and Methanococcus_aeolicus--RS_GCF_000017185.1 as POCP was;	7.106382978723404%
POCP suggests seperate genus between the input genome and Methanothermococcus_okinawensis--RS_GCF_000179575.2 as POCP was;	7.329624478442281%
POCP suggests seperate genus between the input genome and Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1 as POCP was;	7.610054159144564%
POCP suggests seperate genus between the input genome and Methanofervidicoccus_abyssi--RS_GCF_004310395.1 as POCP was;	7.136537894426423%
POCP suggests seperate genus between the input genome and Methanotorris_formicicus--RS_GCF_000243455.1 as POCP was;	8.0561122244489%
POCP suggests seperate genus between the input genome and Methanotorris_igneus--RS_GCF_000214415.1 as POCP was;	8.044099632503062%
POCP suggests seperate genus between the input genome and Methanocaldococcus_jannaschii--RS_GCF_000091665.1 as POCP was;	7.754660902458794%
POCP suggests seperate genus between the input genome and Methanocaldococcus_vulcanius--RS_GCF_000024625.1 as POCP was;	7.576173483392807%
POCP suggests seperate genus between the input genome and Desulfurococcus_amylolyticus--RS_GCF_000513855.1 as POCP was;	5.06658946149392%
POCP suggests seperate genus between the input genome and Staphylothermus_hellenicus--RS_GCF_000092465.1 as POCP was;	5.271231348486961%
POCP suggests seperate genus between the input genome and Thermogladius_calderae--RS_GCF_000264495.1 as POCP was;	4.909300316729053%
POCP suggests seperate genus between the input genome and Ignisphaera_aggregans--GB_GCA_011375585.1 as POCP was;	4.834176503653738%
POCP suggests seperate genus between the input genome and Methanosphaera_stadtmanae--RS_GCF_000012545.1 as POCP was;	6.35862653666808%
POCP suggests seperate genus between the input genome and Methanobacterium_formicicum--GB_GCA_001316325.1 as POCP was;	8.487124463519313%
POCP suggests seperate genus between the input genome and Methanococcus_vannielii--RS_GCF_000017165.1 as POCP was;	7.082932196396643%
POCP suggests seperate genus between the input genome and Desulfurococcus_mucosus--RS_GCF_000186365.1 as POCP was;	4.641044234952864%
POCP suggests seperate genus between the input genome and Methanobrevibacter_arboriphilus--RS_GCF_000513315.1 as POCP was;	7.092575375215832%
POCP suggests seperate genus between the input genome and Methanobrevibacter_smithii--RS_GCF_002252585.1 as POCP was;	6.754912663755458%
POCP suggests seperate genus between the input genome and Methanobrevibacter_ruminantium--GB_GCA_004553595.1 as POCP was;	5.959705633972735%
POCP suggests seperate genus between the input genome and Methanobrevibacter_cuticularis--RS_GCF_001639285.1 as POCP was;	6.495388669301713%
POCP suggests seperate genus between the input genome and Methanosphaera_cuniculi--RS_GCF_003149675.1 as POCP was;	6.20253164556962%
