#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Methanogenium_cariaci--RS_GCF_001315945.1 as POCP was;	10.398813447593936%
POCP suggests seperate genus between the input genome and Methanothrix_soehngenii--RS_GCF_000204415.1 as POCP was;	14.119091467157766%
POCP suggests seperate genus between the input genome and Methanobrevibacter_smithii--RS_GCF_002252585.1 as POCP was;	14.168039538714991%
POCP suggests seperate genus between the input genome and Methanosphaera_stadtmanae--RS_GCF_000012545.1 as POCP was;	14.450014744913005%
POCP suggests seperate genus between the input genome and Methanobacterium_subterraneum--RS_GCF_002813695.1 as POCP was;	13.935001169043723%
POCP suggests seperate genus between the input genome and Methanonatronarchaeum_thermophilum--RS_GCF_002153915.1 as POCP was;	15.618479880774963%
POCP suggests seperate genus between the input genome and Methanosphaera_cuniculi--RS_GCF_003149675.1 as POCP was;	13.843457943925234%
POCP suggests seperate genus between the input genome and Methanobacterium_congolense--RS_GCF_900095295.1 as POCP was;	14.794455066921605%
POCP suggests seperate genus between the input genome and Methanobacterium_paludis--RS_GCF_000214725.1 as POCP was;	14.498834498834498%
POCP suggests seperate genus between the input genome and Thermococcus_thioreducens--RS_GCF_002214545.1 as POCP was;	13.958534233365476%
POCP suggests seperate genus between the input genome and Thermococcus_piezophilus--RS_GCF_001647085.1 as POCP was;	14.118792599805257%
POCP suggests seperate genus between the input genome and Thermococcus_profundus--RS_GCF_002214585.1 as POCP was;	14.213582428679628%
POCP suggests seperate genus between the input genome and Thermococcus_celericrescens--RS_GCF_001484195.1 as POCP was;	12.838606874573186%
POCP suggests seperate genus between the input genome and Thermococcus_siculi--RS_GCF_002214505.1 as POCP was;	13.67865225044003%
POCP suggests seperate genus between the input genome and Thermococcus_cleftensis--RS_GCF_000265525.1 as POCP was;	13.979044211602352%
POCP suggests seperate genus between the input genome and Thermococcus_kodakarensis--RS_GCF_000009965.1 as POCP was;	14.691714836223507%
POCP suggests seperate genus between the input genome and Thermococcus_gammatolerans--RS_GCF_000022365.1 as POCP was;	14.926488911039124%
POCP suggests seperate genus between the input genome and Thermococcus_eurythermalis--RS_GCF_000769655.1 as POCP was;	13.744536182612919%
POCP suggests seperate genus between the input genome and Thermococcus_guaymasensis--RS_GCF_000816105.1 as POCP was;	14.173427991886408%
POCP suggests seperate genus between the input genome and Thermococcus_zilligii--RS_GCF_000258515.1 as POCP was;	14.848812095032399%
POCP suggests seperate genus between the input genome and Thermococcus_pacificus--RS_GCF_002214485.1 as POCP was;	14.730728616684265%
POCP suggests seperate genus between the input genome and Thermococcus_barophilus--RS_GCF_000151105.2 as POCP was;	15.00245941957698%
POCP suggests seperate genus between the input genome and Thermococcus_paralvinellae--RS_GCF_000517445.1 as POCP was;	14.943396226415096%
POCP suggests seperate genus between the input genome and Pyrococcus_furiosus--RS_GCF_000007305.1 as POCP was;	15.554427810200458%
POCP suggests seperate genus between the input genome and Pyrococcus_kukulkanii--RS_GCF_001577775.1 as POCP was;	13.796501601379651%
POCP suggests seperate genus between the input genome and Thermococcus_litoralis--RS_GCF_000246985.2 as POCP was;	14.091328413284131%
POCP suggests seperate genus between the input genome and Thermococcus_sibiricus--RS_GCF_000022545.1 as POCP was;	14.61139896373057%
POCP suggests seperate genus between the input genome and Palaeococcus_ferrophilus--RS_GCF_000966265.1 as POCP was;	13.817049808429118%
POCP suggests seperate genus between the input genome and Palaeococcus_pacificus--RS_GCF_000725425.1 as POCP was;	14.990859232175502%
POCP suggests seperate genus between the input genome and Methanococcus_vannielii--RS_GCF_000017165.1 as POCP was;	14.421199442119944%
POCP suggests seperate genus between the input genome and Methanococcus_aeolicus--RS_GCF_000017185.1 as POCP was;	14.53626634958383%
POCP suggests seperate genus between the input genome and Methanothermococcus_okinawensis--RS_GCF_000179575.2 as POCP was;	15.068493150684931%
POCP suggests seperate genus between the input genome and Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1 as POCP was;	16.586059743954483%
POCP suggests seperate genus between the input genome and Methanofervidicoccus_abyssi--RS_GCF_004310395.1 as POCP was;	17.021963824289404%
POCP suggests seperate genus between the input genome and Methanofollis_tationis--RS_GCF_013377755.1 as POCP was;	15.582851637764932%
POCP suggests seperate genus between the input genome and Methanoculleus_bourgensis--RS_GCF_000304355.2 as POCP was;	14.801684023930866%
POCP suggests seperate genus between the input genome and Methanobacterium_formicicum--GB_GCA_001316325.1 as POCP was;	14.164004259850904%
POCP suggests seperate genus between the input genome and Methanofollis_liminatans--RS_GCF_000275865.1 as POCP was;	15.291091886836567%
POCP suggests seperate genus between the input genome and Methanoregula_boonei--RS_GCF_000017625.1 as POCP was;	12.617357453629493%
POCP suggests seperate genus between the input genome and Methanosphaerula_palustris--RS_GCF_000021965.1 as POCP was;	12.711130359462972%
POCP suggests seperate genus between the input genome and Methanoculleus_marisnigri--GB_GCA_002503885.1 as POCP was;	14.675767918088736%
