#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Mesobacillus_subterraneus--RS_GCF_000934845.1 as POCP was;	11.011370436864153%
POCP suggests seperate genus between the input genome and Bacillus_mesophilus--RS_GCF_011008845.1 as POCP was;	9.643605870020965%
POCP suggests seperate genus between the input genome and Bacillus_methanolicus--RS_GCF_008764295.1 as POCP was;	10.225169648365206%
POCP suggests seperate genus between the input genome and Geobacillus_thermodenitrificans--RS_GCF_000496575.1 as POCP was;	12.931172789988771%
POCP suggests seperate genus between the input genome and Parageobacillus_thermantarcticus--RS_GCF_900111865.1 as POCP was;	11.813617822403515%
POCP suggests seperate genus between the input genome and Thermolongibacillus_altinsuensis--RS_GCF_004341205.1 as POCP was;	12.771785653141585%
POCP suggests seperate genus between the input genome and Saccharococcus_thermophilus--RS_GCF_011761475.1 as POCP was;	12.137862137862138%
POCP suggests seperate genus between the input genome and Anoxybacillus_calidus--RS_GCF_013760845.1 as POCP was;	11.26425855513308%
POCP suggests seperate genus between the input genome and Parageobacillus_thermoglucosidasius--RS_GCF_001655645.1 as POCP was;	11.329394387001477%
POCP suggests seperate genus between the input genome and Parageobacillus_caldoxylosilyticus--RS_GCF_000632715.1 as POCP was;	11.947700631199279%
POCP suggests seperate genus between the input genome and Anoxybacillus_gonensis--RS_GCF_001187595.1 as POCP was;	12.746454514008992%
POCP suggests seperate genus between the input genome and Anoxybacillus_vitaminiphilus--RS_GCF_003259935.1 as POCP was;	11.04313725490196%
POCP suggests seperate genus between the input genome and Anoxybacillus_rupiensis--RS_GCF_014196195.1 as POCP was;	11.304750154225788%
POCP suggests seperate genus between the input genome and Anoxybacillus_voinovskiensis--RS_GCF_014196205.1 as POCP was;	12.272291466922338%
POCP suggests seperate genus between the input genome and Anoxybacillus_amylolyticus--RS_GCF_001634285.1 as POCP was;	12.130612244897959%
POCP suggests seperate genus between the input genome and Metabacillus_niabensis--RS_GCF_902829255.1 as POCP was;	9.405419626414101%
POCP suggests seperate genus between the input genome and Melghiribacillus_thermohalophilus--RS_GCF_004342905.1 as POCP was;	10.875466576179166%
POCP suggests seperate genus between the input genome and Melghirimyces_profundicolus--RS_GCF_003054245.1 as POCP was;	12.817393948608787%
POCP suggests seperate genus between the input genome and Haloferula_luteola--RS_GCF_014201715.1 as POCP was;	11.280315848843768%
POCP suggests seperate genus between the input genome and Kiritimatiella_glycovorans--RS_GCF_001017655.1 as POCP was;	20.884289746001883%
POCP suggests seperate genus between the input genome and Sedimentisphaera_cyanobacteriorum--RS_GCF_001997385.1 as POCP was;	22.42412526580321%
POCP suggests seperate genus between the input genome and Sedimentisphaera_salicampi--RS_GCF_002117005.1 as POCP was;	22.63577668059248%
POCP suggests seperate genus between the input genome and Limihaloglobus_sulfuriphilus--RS_GCF_001999965.1 as POCP was;	22.38062521470285%
POCP suggests seperate genus between the input genome and Anaerohalosphaera_lusitana--RS_GCF_002007645.1 as POCP was;	26.792984653930475%
POCP suggests seperate genus between the input genome and Algisphaera_agarilytica--RS_GCF_014207595.1 as POCP was;	20.81900593935605%
POCP suggests seperate genus between the input genome and Phycisphaera_mikurensis--RS_GCF_000284115.1 as POCP was;	20.642049234863606%
POCP suggests seperate genus between the input genome and Thermodesulfatator_indicus--RS_GCF_000217795.1 as POCP was;	16.42634450506625%
POCP suggests seperate genus between the input genome and Peribacillus_simplex--RS_GCF_002243645.1 as POCP was;	8.89932562620424%
POCP suggests seperate genus between the input genome and Geobacillus_stearothermophilus--RS_GCF_001277805.1 as POCP was;	13.374449339207048%
POCP suggests seperate genus between the input genome and Anoxybacillus_pushchinoensis--RS_GCF_900111795.1 as POCP was;	12.975191861502767%
POCP suggests seperate genus between the input genome and Metabacillus_fastidiosus--RS_GCF_001591625.1 as POCP was;	9.292819185175091%
POCP suggests seperate genus between the input genome and Melghirimyces_algeriensis--RS_GCF_900182565.1 as POCP was;	11.71609139523578%
POCP suggests seperate genus between the input genome and Thermodesulfatator_atlanticus--GB_GCA_011321895.1 as POCP was;	16.537413540138335%
POCP suggests seperate genus between the input genome and Pradoshia_eiseniae--RS_GCF_002946355.1 as POCP was;	10.331266071698684%
POCP suggests seperate genus between the input genome and Peribacillus_asahii--RS_GCF_003570725.1 as POCP was;	10.228077631392548%
POCP suggests seperate genus between the input genome and Neobacillus_novalis--RS_GCF_001591805.1 as POCP was;	9.171203871748336%
POCP suggests seperate genus between the input genome and Neobacillus_niacini--RS_GCF_013409995.1 as POCP was;	8.912948381452319%
POCP suggests seperate genus between the input genome and Mesobacillus_foraminis--RS_GCF_004340465.1 as POCP was;	9.324406573341449%
