#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Methanobacterium_veterum--RS_GCF_000745485.1 as POCP was;	10.681399631675875%
POCP suggests seperate genus between the input genome and Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1 as POCP was;	12.857142857142856%
POCP suggests seperate genus between the input genome and Methanothermus_fervidus--RS_GCF_000166095.1 as POCP was;	16.3727959697733%
POCP suggests seperate genus between the input genome and Methanococcus_vannielii--RS_GCF_000017165.1 as POCP was;	11.850533807829182%
POCP suggests seperate genus between the input genome and Methanothermococcus_okinawensis--RS_GCF_000179575.2 as POCP was;	12.202271894466838%
POCP suggests seperate genus between the input genome and Methanofervidicoccus_abyssi--RS_GCF_004310395.1 as POCP was;	14.131839724256787%
POCP suggests seperate genus between the input genome and Methanocaldococcus_bathoardescens--RS_GCF_000739065.1 as POCP was;	13.576642335766422%
POCP suggests seperate genus between the input genome and Methanocaldococcus_vulcanius--RS_GCF_000024625.1 as POCP was;	12.530973451327435%
POCP suggests seperate genus between the input genome and Methanocaldococcus_infernus--RS_GCF_000092305.1 as POCP was;	14.144996059889678%
POCP suggests seperate genus between the input genome and Methanocella_paludicola--RS_GCF_000011005.1 as POCP was;	9.95870779693952%
POCP suggests seperate genus between the input genome and Methanosphaera_stadtmanae--RS_GCF_000012545.1 as POCP was;	11.62079510703364%
POCP suggests seperate genus between the input genome and Methanothermobacter_marburgensis--RS_GCF_000145295.1 as POCP was;	12.873399715504979%
POCP suggests seperate genus between the input genome and Methanothermobacter_tenebrarum--RS_GCF_003264935.1 as POCP was;	14.73922902494331%
POCP suggests seperate genus between the input genome and Methanococcus_aeolicus--RS_GCF_000017185.1 as POCP was;	11.741985322518348%
POCP suggests seperate genus between the input genome and Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1 as POCP was;	12.518248175182482%
POCP suggests seperate genus between the input genome and Methanocaldococcus_fervens--RS_GCF_000023985.1 as POCP was;	13.609467455621301%
POCP suggests seperate genus between the input genome and Methanocaldococcus_jannaschii--RS_GCF_000091665.1 as POCP was;	12.138728323699421%
POCP suggests seperate genus between the input genome and Thermoplasma_volcanium--RS_GCF_000011185.1 as POCP was;	8.549222797927461%
POCP suggests seperate genus between the input genome and Methanolobus_tindarius--RS_GCF_000504205.1 as POCP was;	10.627177700348431%
POCP suggests seperate genus between the input genome and Thermoplasma_acidophilum--RS_GCF_000195915.1 as POCP was;	8.466211085801064%
POCP suggests seperate genus between the input genome and Methanoregula_boonei--RS_GCF_000017625.1 as POCP was;	8.825167037861915%
POCP suggests seperate genus between the input genome and Methanoplanus_limicola--RS_GCF_000243255.1 as POCP was;	8.458920758385998%
POCP suggests seperate genus between the input genome and Methanogenium_cariaci--RS_GCF_001315945.1 as POCP was;	7.23597203854147%
POCP suggests seperate genus between the input genome and Methanocella_arvoryzae--RS_GCF_000063445.1 as POCP was;	9.614924659172447%
POCP suggests seperate genus between the input genome and Methanolobus_zinderi--RS_GCF_013388255.1 as POCP was;	11.066344345957562%
POCP suggests seperate genus between the input genome and Methanosphaera_cuniculi--RS_GCF_003149675.1 as POCP was;	11.400528501321253%
POCP suggests seperate genus between the input genome and Methanobacterium_subterraneum--RS_GCF_002813695.1 as POCP was;	11.136493432324386%
POCP suggests seperate genus between the input genome and Methanobacterium_formicicum--GB_GCA_001316325.1 as POCP was;	9.960897303972011%
POCP suggests seperate genus between the input genome and Methanobacterium_congolense--RS_GCF_900095295.1 as POCP was;	11.616309768260487%
POCP suggests seperate genus between the input genome and Methanobacterium_paludis--RS_GCF_000214725.1 as POCP was;	12.005689900426743%
