#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Isolate_bin105-contigs.fa.faa as POCP was;	41.98367685710333%
POCP suggests seperate genus between the input genome and GCA_000493945.1--GCA_000493945.1 as POCP was;	35.24590163934426%
POCP suggests seperate genus between the input genome and GCA_002070275.1--GCA_002070275.1 as POCP was;	40.0124941433703%
POCP suggests seperate genus between the input genome and GCA_002348185.1--GCA_002348185.1 as POCP was;	39.6594958426818%
POCP suggests seperate genus between the input genome and GCA_002422525.1--GCA_002422525.1 as POCP was;	37.134137883201554%
POCP suggests seperate genus between the input genome and GCA_002746185.1--GCA_002746185.1 as POCP was;	29.301948051948052%
POCP suggests seperate genus between the input genome and GCA_003552485.1--GCA_003552485.1 as POCP was;	32.432024169184295%
POCP suggests seperate genus between the input genome and GCA_003552765.1--GCA_003552765.1 as POCP was;	28.923218109513616%
POCP suggests seperate genus between the input genome and GCA_003557825.1--GCA_003557825.1 as POCP was;	30.100842657825666%
POCP suggests seperate genus between the input genome and GCA_007116095.1--GCA_007116095.1 as POCP was;	30.16453382084095%
POCP suggests seperate genus between the input genome and GCA_007118235.1--GCA_007118235.1 as POCP was;	29.300722258699935%
POCP suggests seperate genus between the input genome and GCA_007118765.1--GCA_007118765.1 as POCP was;	40.65648854961832%
POCP suggests seperate genus between the input genome and GCA_007124105.1--GCA_007124105.1 as POCP was;	39.71631205673759%
POCP suggests seperate genus between the input genome and GCA_007130675.1--GCA_007130675.1 as POCP was;	37.633104191939616%
POCP suggests seperate genus between the input genome and GCA_007136375.1--GCA_007136375.1 as POCP was;	31.812040234199067%
POCP suggests seperate genus between the input genome and GCA_009885415.1--GCA_009885415.1 as POCP was;	26.13255033557047%
POCP suggests seperate genus between the input genome and GCA_011046175.1--GCA_011046175.1 as POCP was;	38.436830835117775%
POCP suggests seperate genus between the input genome and GCA_011328705.1--GCA_011328705.1 as POCP was;	41.617279072830236%
POCP suggests seperate genus between the input genome and GCA_011338105.1--GCA_011338105.1 as POCP was;	32.9503016374605%
POCP suggests seperate genus between the input genome and GCA_011370785.1--GCA_011370785.1 as POCP was;	30.751866643514497%
POCP suggests seperate genus between the input genome and GCA_011682535.1--GCA_011682535.1 as POCP was;	40.34134007585335%
POCP suggests seperate genus between the input genome and GCA_012515115.1--GCA_012515115.1 as POCP was;	37.29250143102462%
POCP suggests seperate genus between the input genome and GCA_012522755.1--GCA_012522755.1 as POCP was;	37.741254523522315%
POCP suggests seperate genus between the input genome and GCA_012523015.1--GCA_012523015.1 as POCP was;	38.29046898638427%
POCP suggests seperate genus between the input genome and GCA_012719295.1--GCA_012719295.1 as POCP was;	41.118331979420525%
POCP suggests seperate genus between the input genome and GCA_012730045.1--GCA_012730045.1 as POCP was;	45.010768126346015%
POCP suggests seperate genus between the input genome and GCA_012730105.1--GCA_012730105.1 as POCP was;	40.85667215815486%
POCP suggests seperate genus between the input genome and GCA_012965445.1--GCA_012965445.1 as POCP was;	21.304822850007803%
POCP suggests seperate genus between the input genome and GCA_013349485.1--GCA_013349485.1 as POCP was;	26.578491576129743%
POCP suggests seperate genus between the input genome and GCA_013359265.1--GCA_013359265.1 as POCP was;	34.08780709736124%
POCP suggests seperate genus between the input genome and GCA_903822375.1--GCA_903822375.1 as POCP was;	33.07160435954529%
POCP suggests seperate genus between the input genome and GCA_903837785.1--GCA_903837785.1 as POCP was;	45.038419319429195%
POCP suggests seperate genus between the input genome and GCA_903893795.1--GCA_903893795.1 as POCP was;	36.633776961909135%
POCP suggests seperate genus between the input genome and GCA_903932505.1--GCA_903932505.1 as POCP was;	37.50889679715302%
