user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	N/A	N/A	N/A	N/A	N/A	GCA_002841175.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis sp002841175	90.49	0.85	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	taxonomic classification defined by topology and ANI	N/A	GCF_003609815.1, s__Sphingopyxis sp003609815, 95.0, 87.98, 0.83; GCA_002454115.1, s__Sphingopyxis sp002454115, 95.0, 86.71, 0.81; GCF_005502465.1, s__Sphingopyxis sp005502465, 95.0, 86.43, 0.8; GCF_002205675.1, s__Sphingopyxis bauzanensis, 95.0, 86.2, 0.81; GCF_000013985.1, s__Sphingopyxis alaskensis, 95.0, 85.56, 0.79; GCF_014595975.1, s__Sphingopyxis sp014595975, 95.0, 85.34, 0.77; GCF_001468225.1, s__Sphingopyxis sp001468225, 95.0, 85.33, 0.8; GCF_003609835.1, s__Sphingopyxis sp003609835, 95.0, 85.29, 0.78; GCF_000756375.1, s__Sphingopyxis sp000756375, 95.0, 85.23, 0.79; GCF_005503215.1, s__Sphingopyxis sp005503215, 95.0, 85.12, 0.82; GCF_000756385.1, s__Sphingopyxis sp000756385, 95.0, 85.1, 0.77; GCA_900078365.1, s__Sphingopyxis sp900078365, 95.0, 85.08, 0.78; GCF_011926545.1, s__Sphingopyxis italica, 95.0, 85.04, 0.78; GCA_001830555.1, s__Sphingopyxis sp001830555, 95.0, 84.91, 0.74; GCF_000803645.1, s__Sphingopyxis fribergensis, 95.0, 84.85, 0.8; GCF_004795895.1, s__Sphingopyxis sp004795895, 95.0, 84.85, 0.79; GCF_013410105.1, s__Sphingopyxis sp013410105, 95.0, 84.78, 0.77; GCF_001468285.1, s__Sphingopyxis sp001468285, 95.0, 84.76, 0.77; GCF_001427105.1, s__Sphingopyxis sp001427105, 95.0, 84.71, 0.77; GCF_005503165.1, s__Sphingopyxis sp005503165, 95.0, 84.7, 0.77; GCA_013821905.1, s__Sphingopyxis sp013821905, 95.0, 84.56, 0.69; GCF_001468395.1, s__Sphingopyxis sp001468395, 95.0, 84.52, 0.77; GCF_001984035.1, s__Sphingopyxis sp001984035, 95.0, 84.49, 0.8; GCF_001468465.1, s__Sphingopyxis sp001468465, 95.0, 84.49, 0.77; GCF_001468265.1, s__Sphingopyxis sp001468265, 95.0, 84.45, 0.77; GCF_001990265.1, s__Sphingopyxis sp001990265, 95.0, 84.45, 0.71; GCF_001307295.1, s__Sphingopyxis macrogoltabida_B, 95.0, 84.44, 0.77; GCF_003797775.2, s__Sphingopyxis sp001427085, 95.0, 84.4, 0.77; GCF_001314325.1, s__Sphingopyxis macrogoltabida, 95.0, 84.35, 0.78; GCF_014207235.1, s__Sphingopyxis sp014207235, 95.0, 84.31, 0.77; GCF_900108295.1, s__Sphingopyxis sp900108295, 95.0, 84.28, 0.76; GCF_011762125.1, s__Sphingopyxis panaciterrae, 95.0, 84.18, 0.76; GCF_002993885.1, s__Sphingopyxis lindanitolerans, 95.0, 84.16, 0.74; GCF_002277025.1, s__Sphingopyxis sp002277025, 95.0, 84.1, 0.76; GCA_003241685.1, s__Sphingopyxis macrogoltabida_A, 95.0, 83.79, 0.71; GCF_001047015.1, s__Sphingopyxis sp001047015, 95.0, 83.77, 0.76; GCF_900188185.1, s__Sphingopyxis indica, 95.0, 83.63, 0.72; GCF_002205635.1, s__Sphingopyxis witflariensis, 95.0, 83.47, 0.76; GCF_001598815.1, s__Sphingopyxis terrae, 95.0, 83.43, 0.71; GCF_001591045.1, s__Sphingopyxis granuli, 95.0, 83.41, 0.66; GCF_014199295.1, s__Sphingopyxis panaciterrulae, 95.0, 83.34, 0.74; GCA_002842935.1, s__Sphingopyxis sp002842935, 95.0, 83.04, 0.52; GCF_001278035.1, s__Sphingopyxis sp001278035, 95.0, 81.35, 0.67; GCF_000763945.1, s__Sphingopyxis sp000763945, 95.0, 81.31, 0.62; GCF_900168005.1, s__Sphingopyxis flava, 95.0, 81.07, 0.63; GCA_013911715.1, s__Sphingopyxis sp013911715, 95.0, 79.84, 0.59; GCA_012035435.1, s__Sphingopyxis sp012035435, 95.0, 78.96, 0.38; GCF_012979535.1, s__Sphingopyxis sp012979535, 95.0, 78.31, 0.28	96.29	11	0.9966675610311956	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__B18-G4;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	96.78	11	0.8359241671103689	N/A
bin.100	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__JABSRG01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_013215165.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__JABSRG01;g__JABSRG01;s__JABSRG01 sp013215165	75.07	0.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	85.39	11	0.7742507438045505	N/A
bin.101	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	86.04	11	0.540766444536522	N/A
bin.102	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Aegiribacteria;s__	N/A	N/A	N/A	N/A	N/A	GCA_002030045.1	95.0	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Aegiribacteria;s__Aegiribacteria sp002030045	78.45	0.44	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Aegiribacteria;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013138965.1, s__Aegiribacteria sp013138965, 95.0, 76.43, 0.09; GCA_003644925.1, s__Aegiribacteria sp003644925, 95.0, 76.37, 0.08	85.67	11	0.9040720590876379	N/A
bin.103	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SPDA01;f__B32-G16;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003645645.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SPDA01;f__B32-G16;g__B32-G16;s__B32-G16 sp003645645	76.08	0.01	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SPDA01;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	74.57	11	0.7423274664664052	N/A
bin.104	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__Glo-17;s__	N/A	N/A	N/A	N/A	N/A	GCA_003353795.1	95.0	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__Glo-17;s__Glo-17 sp003353795	79.24	0.51	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	50.63	11	0.8962317324746638	N/A
bin.105	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	92.2	11	0.6542761779729603	N/A
bin.106	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__UBA5760;s__	N/A	N/A	N/A	N/A	N/A	GCA_002418895.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__UBA5760;s__UBA5760 sp002418895	77.73	0.14	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	82.69	11	0.9420984277161762	N/A
bin.107	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Spiribacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Spiribacter;s__	taxonomic classification defined by topology and ANI	N/A	GCF_002813635.1, s__Spiribacter roseus, 95.0, 81.7, 0.67; GCF_000485905.1, s__Spiribacter curvatus, 95.0, 81.07, 0.63; GCF_004217415.1, s__Spiribacter vilamensis, 95.0, 80.58, 0.6; GCF_000319575.2, s__Spiribacter salinus, 95.0, 78.34, 0.31; GCF_009676705.1, s__Spiribacter sp009676705, 95.0, 77.95, 0.32	98.63	11	0.973157651047233	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
