#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Ammoniphilus_oxalaticus--RS_GCF_003609605.1 as POCP was;	10.567780494430862%
POCP suggests seperate genus between the input genome and Staphylospora_marina--RS_GCF_003856495.1 as POCP was;	12.486772486772486%
POCP suggests seperate genus between the input genome and Desmospora_activa--RS_GCF_003046315.1 as POCP was;	12.043409211222869%
POCP suggests seperate genus between the input genome and Kroppenstedtia_pulmonis--RS_GCF_013265585.1 as POCP was;	11.304224954076586%
POCP suggests seperate genus between the input genome and Melghirimyces_algeriensis--RS_GCF_900182565.1 as POCP was;	11.334730957372468%
POCP suggests seperate genus between the input genome and Planifilum_fulgidum--RS_GCF_900113175.1 as POCP was;	13.271954674220963%
POCP suggests seperate genus between the input genome and Anoxybacter_fermentans--RS_GCF_003991135.1 as POCP was;	11.939875212705616%
POCP suggests seperate genus between the input genome and Conexibacter_arvalis--RS_GCF_014199525.1 as POCP was;	9.117104656523743%
POCP suggests seperate genus between the input genome and Moorella_thermoacetica--RS_GCF_001267405.1 as POCP was;	13.425637834474175%
POCP suggests seperate genus between the input genome and Alkalispirochaeta_alkalica--RS_GCF_000373545.1 as POCP was;	9.314456035767511%
POCP suggests seperate genus between the input genome and Spirochaeta_thermophila--RS_GCF_000147075.1 as POCP was;	11.067388096409248%
POCP suggests seperate genus between the input genome and Syntrophorhabdus_aromaticivorans--RS_GCF_000512235.1 as POCP was;	10.525613660618998%
POCP suggests seperate genus between the input genome and Kroppenstedtia_eburnea--RS_GCF_013282215.1 as POCP was;	12.459327548806941%
POCP suggests seperate genus between the input genome and Melghirimyces_profundicolus--RS_GCF_003054245.1 as POCP was;	12.776087819071552%
POCP suggests seperate genus between the input genome and Novibacillus_thermophilus--RS_GCF_002005165.1 as POCP was;	12.870762711864407%
POCP suggests seperate genus between the input genome and Conexibacter_woesei--RS_GCF_000025265.1 as POCP was;	8.737368582219046%
POCP suggests seperate genus between the input genome and Hydrogenibacillus_schlegelii--RS_GCF_001653195.1 as POCP was;	12.46011486917677%
POCP suggests seperate genus between the input genome and Alkalispirochaeta_americana--RS_GCF_900156105.1 as POCP was;	9.467280011871198%
POCP suggests seperate genus between the input genome and Rectinema_subterraneum--RS_GCF_009768935.1 as POCP was;	10.091885999065566%
POCP suggests seperate genus between the input genome and Aneurinibacillus_aneurinilyticus--RS_GCF_000466385.1 as POCP was;	10.16077873783222%
POCP suggests seperate genus between the input genome and Planifilum_fimeticola--RS_GCF_003001905.1 as POCP was;	13.160409556313994%
POCP suggests seperate genus between the input genome and Sulfurivermis_fontis--RS_GCF_004001245.1 as POCP was;	11.694004524886878%
POCP suggests seperate genus between the input genome and Methylohalobius_crimeensis--RS_GCF_000421465.1 as POCP was;	12.011057360055286%
POCP suggests seperate genus between the input genome and Desulfonatronum_thioautotrophicum--RS_GCF_000934745.1 as POCP was;	11.657581764122895%
POCP suggests seperate genus between the input genome and Desulfonatronum_thiodismutans--RS_GCF_000717475.1 as POCP was;	12.37617044375085%
POCP suggests seperate genus between the input genome and Desulfonatronum_lacustre--RS_GCF_000519265.1 as POCP was;	12.202918693537178%
POCP suggests seperate genus between the input genome and Desulfonauticus_submarinus--RS_GCF_900104045.1 as POCP was;	11.11299052774019%
POCP suggests seperate genus between the input genome and Desulfovermiculus_halophilus--RS_GCF_000620765.1 as POCP was;	11.987056920135315%
POCP suggests seperate genus between the input genome and Desulfobulbus_propionicus--GB_GCA_002746685.1 as POCP was;	9.06706631697265%
POCP suggests seperate genus between the input genome and Vulgatibacter_incomptus--RS_GCF_001263175.1 as POCP was;	12.31527093596059%
POCP suggests seperate genus between the input genome and Aneurinibacillus_tyrosinisolvens--RS_GCF_001015055.1 as POCP was;	10.281704464558121%
