#Matching species	POCP (%)
POCP suggests seperate genus between the input genome and Arthrobacter_celericrescens--RS_GCF_003614925.1 as POCP was;	3.381219341275403%
POCP suggests seperate genus between the input genome and Arthrobacter_silvisoli--RS_GCF_003369445.1 as POCP was;	3.391335227272727%
POCP suggests seperate genus between the input genome and Glutamicibacter_mishrai--RS_GCF_012221945.1 as POCP was;	3.8415124698310534%
POCP suggests seperate genus between the input genome and Glutamicibacter_arilaitensis--RS_GCF_000197735.1 as POCP was;	3.683919690550746%
POCP suggests seperate genus between the input genome and Arthrobacter_woluwensis--RS_GCF_900105345.1 as POCP was;	3.685410334346505%
POCP suggests seperate genus between the input genome and Glutamicibacter_halophytocola--RS_GCF_001302565.1 as POCP was;	3.614457831325301%
POCP suggests seperate genus between the input genome and Glutamicibacter_nicotianae--RS_GCF_006539525.1 as POCP was;	3.843843843843844%
POCP suggests seperate genus between the input genome and Nesterenkonia_sandarakina--RS_GCF_003003175.1 as POCP was;	3.9173482565647872%
POCP suggests seperate genus between the input genome and Yaniella_halotolerans--RS_GCF_000420805.1 as POCP was;	4.4678362573099415%
POCP suggests seperate genus between the input genome and Brachybacterium_vulturis--RS_GCF_002407185.1 as POCP was;	3.834749950583119%
POCP suggests seperate genus between the input genome and Brachybacterium_avium--RS_GCF_002216795.1 as POCP was;	3.835341365461847%
POCP suggests seperate genus between the input genome and Brachybacterium_ginsengisoli--RS_GCF_002407065.1 as POCP was;	3.603952722340632%
POCP suggests seperate genus between the input genome and Brachybacterium_nesterenkovii--RS_GCF_900163655.1 as POCP was;	4.3948458352508055%
POCP suggests seperate genus between the input genome and Demequina_aestuarii--RS_GCF_000975095.1 as POCP was;	4.339754003249014%
POCP suggests seperate genus between the input genome and Demequina_salsinemoris--RS_GCF_000974805.1 as POCP was;	4.218952834270878%
POCP suggests seperate genus between the input genome and Kribbia_dieselivorans--RS_GCF_001552435.1 as POCP was;	4.2473454091193%
POCP suggests seperate genus between the input genome and Yimella_lutea--RS_GCF_006715095.1 as POCP was;	4.171585989767808%
POCP suggests seperate genus between the input genome and Isoptericola_dokdonensis--RS_GCF_001636295.1 as POCP was;	3.8978756577665177%
POCP suggests seperate genus between the input genome and Xylanimonas_allomyrinae--RS_GCF_004135345.1 as POCP was;	4.114285714285714%
POCP suggests seperate genus between the input genome and Luteimicrobium_subarcticum--RS_GCF_002798015.1 as POCP was;	3.9745953698012704%
POCP suggests seperate genus between the input genome and Cryptosporangium_aurantiacum--RS_GCF_900143005.1 as POCP was;	2.503104996656157%
POCP suggests seperate genus between the input genome and Geodermatophilus_saharensis--RS_GCF_900188205.1 as POCP was;	3.142766898294378%
POCP suggests seperate genus between the input genome and Geodermatophilus_daqingensis--RS_GCF_013408985.1 as POCP was;	3.147105529089072%
POCP suggests seperate genus between the input genome and Geodermatophilus_tzadiensis--RS_GCF_003002915.1 as POCP was;	3.2459226095299005%
POCP suggests seperate genus between the input genome and Geodermatophilus_amargosae--RS_GCF_900116515.1 as POCP was;	2.9275599128540306%
POCP suggests seperate genus between the input genome and Geodermatophilus_normandii--RS_GCF_003182485.1 as POCP was;	3.4855179185076093%
POCP suggests seperate genus between the input genome and Geodermatophilus_africanus--RS_GCF_900107105.1 as POCP was;	3.1386224934612033%
POCP suggests seperate genus between the input genome and Modestobacter_altitudinis--RS_GCF_005930475.1 as POCP was;	3.0837004405286343%
POCP suggests seperate genus between the input genome and Modestobacter_caceresii--RS_GCF_000761485.1 as POCP was;	3.017982799061767%
POCP suggests seperate genus between the input genome and Modestobacter_multiseptatus--RS_GCF_006716365.1 as POCP was;	2.997967479674797%
POCP suggests seperate genus between the input genome and Levilinea_saccharolytica--RS_GCF_001306035.1 as POCP was;	5.350795135640786%
POCP suggests seperate genus between the input genome and Ornatilinea_apprima--RS_GCF_001306115.1 as POCP was;	5.035319688462235%
POCP suggests seperate genus between the input genome and Longilinea_arvoryzae--RS_GCF_001050235.1 as POCP was;	5.11302475780409%
POCP suggests seperate genus between the input genome and Leptolinea_tardivitalis--RS_GCF_001050275.1 as POCP was;	5.781156231246249%
POCP suggests seperate genus between the input genome and Bellilinea_caldifistulae--RS_GCF_001306055.1 as POCP was;	5.988611820145297%
POCP suggests seperate genus between the input genome and Zhihengliuella_halotolerans--RS_GCF_004217565.1 as POCP was;	3.632694248234107%
POCP suggests seperate genus between the input genome and Brachybacterium_faecium--RS_GCF_000023405.1 as POCP was;	4.024896265560166%
POCP suggests seperate genus between the input genome and Xylanimonas_cellulosilytica--RS_GCF_000024965.1 as POCP was;	3.989155693261038%
POCP suggests seperate genus between the input genome and Cryptosporangium_arvum--RS_GCF_000585375.1 as POCP was;	2.6318354615459594%
POCP suggests seperate genus between the input genome and Geodermatophilus_obscurus--RS_GCF_000025345.1 as POCP was;	2.9177718832891246%
POCP suggests seperate genus between the input genome and Anaeromicrobium_sediminis--RS_GCF_002270055.1 as POCP was;	4.872006606110652%
POCP suggests seperate genus between the input genome and Nocardia_yunnanensis--RS_GCF_003626895.1 as POCP was;	2.447248205351316%
POCP suggests seperate genus between the input genome and Nocardia_pseudovaccinii--RS_GCF_001613225.1 as POCP was;	2.13267991650785%
